Day i,Capital Available at the start of day i,Ci-1,mi,p,Mi,G,Ci,Total Orders,Capital Available at the end of day i
1,15000000.000000002,1020000.0,1000000,1.0,2000000,1.0018284564299702,1021865,243313.0344786477,26598782.068718866
2,26598782.068718866,1021865.0,1000000,1.0,2000000,1.0018284564299702,1023733,243757.81803460285,38224251.150795035
3,38224251.150795035,1023733.0,1000000,1.0,2000000,1.0018284564299702,1025604,244203.31591104402,49876450.10545768
4,49876450.10545768,1025604.0,1000000,1.0,2000000,1.0018284564299702,1027479,244649.76621479986,61555436.07834567
5,61555436.078345664,1027479.0,1000000,1.0,2000000,1.0018284564299702,1029357,245096.9308390417,73261251.92868817
6,73261251.92868817,1029357.0,1000000,1.0,2000000,1.0018284564299702,1031239,245545.04789059825,84993954.80212407
7,84993954.80212407,1031239.0,1000000,1.0,2000000,1.0018284564299702,1033124,245993.87926264078,96753587.55788252
8,96753587.55788252,1033124.0,1000000,1.0,2000000,1.0018284564299702,1035013,246443.663061998,108540207.3416024
9,108540207.3416024,1035013.0,1000000,1.0,2000000,1.0018284564299702,1036905,246894.16118184122,120353857.01251288
10,120353857.01251289,1036905.0,1000000,1.0,2000000,1.0018284564299702,1038800,247345.37362217047,132194579.42984311
11,132194579.42984311,1038800.0,1000000,1.0,2000000,1.0018284564299702,1040699,247797.53848981438,144062431.73923197
12,144062431.73923197,1040699.0,1000000,1.0,2000000,1.0018284564299702,1042601,248250.41767794432,155957456.79990864
13,155957456.79990864,1042601.0,1000000,1.0,2000000,1.0018284564299702,1044507,248704.24929338892,167879711.75751197
14,167879711.75751197,1044507.0,1000000,1.0,2000000,1.0018284564299702,1046416,249158.79522931954,179829239.47127116
15,179829239.47127116,1046416.0,1000000,1.0,2000000,1.0018284564299702,1048329,249614.29359256482,191806097.08682504
16,191806097.08682504,1048329.0,1000000,1.0,2000000,1.0018284564299702,1050245,250070.50627629613,203810327.4634028
17,203810327.4634028,1050245.0,1000000,1.0,2000000,1.0018284564299702,1052165,250527.67138734212,215841987.74664333
18,215841987.74664333,1052165.0,1000000,1.0,2000000,1.0018284564299702,1054088,250985.5508188741,227901120.79577577
19,227901120.79577577,1054088.0,1000000,1.0,2000000,1.0018284564299702,1056015,251444.38267772077,239987783.75643903
20,239987783.75643903,1056015.0,1000000,1.0,2000000,1.0018284564299702,1057945,251903.92885705346,252102019.48786223
21,252102019.48786223,1057945.0,1000000,1.0,2000000,1.0018284564299702,1059879,252364.42746370082,264243885.13568428
22,264243885.1356843,1059879.0,1000000,1.0,2000000,1.0018284564299702,1061816,252825.6403908342,276413423.55913436
23,276413423.55913436,1061816.0,1000000,1.0,2000000,1.0018284564299702,1063757,253287.80574528224,288610691.9038513
24,288610691.9038513,1063757.0,1000000,1.0,2000000,1.0018284564299702,1065702,253750.92352704497,300835747.315474
25,300835747.315474,1065702.0,1000000,1.0,2000000,1.0018284564299702,1067650,254214.7556292937,313088632.6532316
26,313088632.6532316,1067650.0,1000000,1.0,2000000,1.0018284564299702,1069602,254679.54015885713,325369405.06276304
27,325369405.06276304,1069602.0,1000000,1.0,2000000,1.0018284564299702,1071557,255145.03900890655,337678107.4032974
28,337678107.4032974,1071557.0,1000000,1.0,2000000,1.0018284564299702,1073516,255611.49028627065,350014796.8204737
29,350014796.8204737,1073516.0,1000000,1.0,2000000,1.0018284564299702,1075478,256078.65588412076,362379516.1735209
30,362379516.1735209,1075478.0,1000000,1.0,2000000,1.0018284564299702,1077444,256546.77390928555,374772322.60807806
